Protester: 187, na
Policeman: 6, m
Doorman: 29, m
Cam: 36, m
Spectator #1: 4, na
Spectator #2: 2, na
Girl #1: 6, f
Girl #2: 5, f
Little Boy: 4, m
Northern guardsman: 3, na
Law clerk: 10, na
Hotah: 206, m
Excited man: 6, m
Korra,: 6, f
Nomad: 52, na
Air lion turtle: 35, na
Settler: 7, na
Dark aye-aye spirit: 16, na
Fire lion turtle: 24, na
Old Wan: 22, m
Upper-class man: 14, m
Ticket master: 14, na
Waiter: 15, na
Male family member: 2, m
Female family member: 2, f
Male family member #2: 1, m
Royal Earth Kingdom guard: 8, na
Barbarians: 2, na
Gombo: 40, m
Lau Gan-Lan: 11, m
Butler: 17, na
News reporter: 47, na
Warehouse worker: 74, na
Song: 179, m
Northern soldier 1: 1, na
Northern soldier 2: 23, na
Dark Spider Spirit: 28, na
Spirit mushroom: 6, na
Zhao: 1724, m
Mako and Bolin: 1, m
Unavaatu: 54, m
Meerkat spirit #1: 46, na
Meerkat spirit #2: 4, na
Meerkat spirit #3: 5, na
Meerkat spirit #4: 14, na
Meerkat spirit #5: 4, na
Meerkat spirit #6: 5, na
Meerkat spirit #7: 4, na
Meerkat spirit #8: 4, na
May: 10, f
Jim: 19, m
Wan Shi Tong: 447, m
Lotus spirit: 5, na
Bathroom attendant: 28, na
Ahnah: 78, f
Guard post soldier: 38, na
Guard #2: 31, na
Over the PA: 14, na
Equalist supporter: 4, na
Crowd member #1: 5, na
Crowd member #2: 3, na
Crowd member #3: 2, na
Feathered hat man: 4, m
Crowd member #4: 4, na
Crowd member #5: 6, na
Noatak: 149, m
Otaku: 21, m
Recruits: 6, na
Air Acolyte member: 8, na
Yung: 270, m
Airbenders: 7, na
Female airbender: 4, f
Ganbat: 97, m
Rustler #1: 12, na
Bison rustler #2: 6, na
White Lotus leader: 101, na
Firebending master: 18, na
Pedestrian: 4, na
Gommu: 142, m
Old woman: 27, f
Chung: 13, m
Young man: 7, m
Mushi: 2, na
Metalbending cops: 5, na
Metalbending cop: 6, na
Ruffled police officer: 7, na
Meelo, Ikki, and Jinora: 1, na
Male journalist #1: 8, m
Female journalist: 11, f
Male journalist #2: 11, m
Male journalist #3: 10, m
Rebels: 1, na
Photographer: 2, na
Mover president: 37, na
Buttercup Raiko: 19, m
Automatons: 18, na
Ginger/Actress Ginger: 5, f
Male sailor: 1, m
Dai Li sergeant: 104, na
Other airbender #1: 2, na
Other airbender #2: 3, na
Azula: 3390, f
Banished servant: 33, na
Suki: 1258, f
Head of Dai Li: 28, na
Qin Lee: 10, m
Crew member: 14, na
Li: 186, na
Lo: 63, f
Lo and Li: 44, f
Pakku: 576, m
Ursa: 289, f
Ozai: 1023, m
Toph and Sokka: 1, na
Fire Sage: 132, na
Gyatso: 234, m
Gyatso and Katara: 15, na
Merchant woman: 19, f
Fisherman's wife: 101, f
Fisherman: 178, m
Lieutenant Jee: 11, m
Jee: 121, m
Air Nomad boy #1: 35, m
Air Nomad boy #2: 24, m
Tashi: 84, m
Pasang: 59, m
Young Zuko: 267, m
Bujing: 50, m
Elder soldier: 19, na
Actress Katara: 208, f
Actor Sokka: 156, m
Actress Aang: 162, f
Actor Iroh: 47, m
Actor Zuko: 110, m
Actor Bumi: 15, m
Blue Spirit: 15, na
Actor Jet: 22, m
Actress Yue: 19, f
Actor Toph: 66, m
Actress Azula: 88, f
Young boy: 12, m
Actor Ozai: 87, m
Hakoda: 1087, m
Due: 146, m
Tho: 158, m
Bato: 674, m
Huu: 240, m
Haru: 321, m
Tyro: 239, m
Big Bad Hippo: 6, na
The Boulder: 139, na
Mechanist: 683, na
Pipsqueak: 82, m
The Duke: 53, m
Teo: 378, m
Warden Poon: 123, m
Ming: 34, f
Male Fire Nation soldier: 17, m
Female Fire Nation soldier: 14, f
Roku: 1191, m
Sozin: 469, m
Ta Min: 6, f
Qin: 175, m
Ty Lee: 738, f
Mai: 858, f
Ying: 102, f
Earthbender guard: 12, na
General Sung: 129, m
Terra Team leader: 3, na
Ticket woman: 32, f
Jet: 1629, m
Smellerbee: 226, f
Terra Team member: 30, na
Tea seller: 11, na
Second Engineer: 16, na
Than: 68, m
Ticket lady: 127, f
Cabbage merchant: 40, na
Warden: 741, na
Bogyguard #2: 4, na
Chit Sang: 251, m
Male guard: 120, m
Female guard: 72, f
Bodyguard #2: 12, na
Bully guard: 124, na
Door guard: 26, na
Tough prisoner: 33, na
Male guard #2: 34, m
Gondola guard: 16, na
Gondola guard #2: 11, na
Gondola guard #3: 4, na
Gondola guard #4: 7, na
Lu Ten: 4, m
Earth Kingdom soldier: 39, na
Store owner: 33, na
Gow: 115, m
Lee: 137, m
Gansu: 106, m
Sela: 137, f
Young Ty Lee: 7, f
Young Azula: 323, f
Young Mai: 6, f
Azulon: 58, m
Old man: 46, m
Kay-fon: 170, m
Senlin Village leader: 135, na
Earthbender captain: 97, na
Fire Nation Soldier: 16, na
Guard one: 25, na
Guard two: 14, na
Michi: 24, f
Resistance fighter: 4, na
King Bumi: 154, m
Resistance fighter #1: 17, na
Resistance fighter #2: 5, na
Ukano: 81, m
Shuzumu: 111, m
Avatar Roku: 105, m
Yue: 675, f
Hama: 984, f
Villager: 52, na
Shop owner: 42, na
Ding: 139, m
Male prisoner #1: 12, m
Female prisoner: 19, f
Male prisoner #2: 4, m
Kaja: 39, f
Young Roku: 60, m
Hei Bai: 1, m
Kyoshi: 408, f
Angry peasant: 5, na
Earth King: 31, m
Kuruk: 367, m
Fire Nation civilian: 8, na
Airbender girl #1: 2, f
Airbender girl #2: 5, f
Ummi: 4, f
Yangchen: 294, f
Gate guard: 62, na
Chamberlain: 19, na
Shinu: 117, m
